,Novel Name,Novel Date,Novel Url,Writer Url,Num Submissions,Avg Submission,Min Submission,Min Day,Max Submission,Max Day,Standard Deviation
27,Vigilantes,November 2014,http://nanowrimo.org/participants/allyellowflowers/novels/vigilantes-586401,http://nanowrimo.org/participants/AllYellowFlowers/novels,17,620.117647059,0,1,1600,3,499.454983234
28,Untitled (Honeysuckle Road/ Ghost Story/ That's a Wrap/ So Drunk in the August Sun & You're the Kind of Girl I like),November 2012,http://nanowrimo.org/participants/allyellowflowers/novels/untitled-honeysuckle-road-ghost-story-that-s-a-wrap-so-drunk-in-the-august-sun-you-re-the-kind-of-girl-i-like,http://nanowrimo.org/participants/AllYellowFlowers/novels,27,736.518518519,100,20,2509,6,577.091646254
29,The Sunday Customer,November 2015,http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-981112,http://nanowrimo.org/participants/animalrza/novels,2,12727.5,0,1,25455,4,12727.5
30,The Sunday Customer,November 2014,http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-601407,http://nanowrimo.org/participants/animalrza/novels,2,11764.0,0,1,23528,2,11764.0
31,The Sunday Customer,November 2013,http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-415499,http://nanowrimo.org/participants/animalrza/novels,3,7797.0,0,1,21911,3,9998.37810181
32,The Sunday Customer,November 2012,http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer,http://nanowrimo.org/participants/animalrza/novels,5,3151.4,0,1,12499,7,4749.2821605
33,Familyhood,November 2015,http://nanowrimo.org/participants/cafenuit/novels/familyhood,http://nanowrimo.org/participants/Cafenuit/novels,27,1857.22222222,87,18,5139,28,1101.94673977
34,La Bruja Verde ( The Green Witch),November 2015,http://nanowrimo.org/participants/carmelon/novels/la-bruja-verde-the-green-witch,http://nanowrimo.org/participants/Carmelon/novels,13,1461.46153846,0,1,3526,9,1133.84394635
35,The Romance Train,November 2015,http://nanowrimo.org/participants/carozy/novels/the-romance-train,http://nanowrimo.org/participants/carozy/novels,4,1112.75,0,1,2685,7,995.728972914
36,Tiny Viola,November 2012,http://nanowrimo.org/participants/carozy/novels/tiny-viola,http://nanowrimo.org/participants/carozy/novels,19,1817.36842105,0,1,4435,3,1185.82008978
37,Right of the Ice Princess,November 2015,http://nanowrimo.org/participants/chrisk0/novels/right-of-the-ice-princess,http://nanowrimo.org/participants/chrisk0/novels,30,2133.36666667,1045,23,4700,22,899.901716238
38,Never Found,November 2014,http://nanowrimo.org/participants/chrisk0/novels/never-found,http://nanowrimo.org/participants/chrisk0/novels,30,2000.83333333,819,26,3682,1,591.628435385
39,Trilogy of Rebellion,November 2013,http://nanowrimo.org/participants/chrisk0/novels/trilogy-of-rebellion,http://nanowrimo.org/participants/chrisk0/novels,27,2223.14814815,721,21,4792,22,945.122320271
40,Snow Job,November 2012,http://nanowrimo.org/participants/chrisk0/novels/snow-job,http://nanowrimo.org/participants/chrisk0/novels,21,3060.47619048,292,27,9187,17,1961.22834733
41,Star Patrol,November 2011,http://nanowrimo.org/participants/chrisk0/novels/star-patrol,http://nanowrimo.org/participants/chrisk0/novels,24,2708.79166667,464,4,5200,5,1180.23804023
42,autobiography/letter,November 2015,http://nanowrimo.org/participants/comeonandwritethisnovel/novels/autobiography-letter,http://nanowrimo.org/participants/ComeOnAndWriteThisNovel/novels,1,0.0,0,1,0,1,0.0
43,the book (finished: just took longer than NaNo time.),November 2014,http://nanowrimo.org/participants/comeonandwritethisnovel/novels/the-book-finished-just-took-longer-than-nano-time,http://nanowrimo.org/participants/ComeOnAndWriteThisNovel/novels,10,1105.5,181,6,2867,10,772.802335659
44,I Left My Heart in San Clandestin,November 2015,http://nanowrimo.org/participants/cretsi/novels/i-left-my-heart-in-san-clandestin,http://nanowrimo.org/participants/cretsi/novels,18,2920.77777778,452,3,7301,28,1700.91895279
45,Death Puppies,November 2014,http://nanowrimo.org/participants/cretsi/novels/death-puppies,http://nanowrimo.org/participants/cretsi/novels,18,2858.77777778,1278,12,6656,14,1482.8676256
46,Dr. Quentin's Support Group for the Re-Living,November 2013,http://nanowrimo.org/participants/cretsi/novels/dr-quentin-s-support-group-for-the-re-living,http://nanowrimo.org/participants/cretsi/novels,16,3155.0625,1488,6,6737,28,1437.43110569
47,MomQuest - A Deranged Journey,November 2012,http://nanowrimo.org/participants/cretsi/novels/momquest-a-deranged-journey,http://nanowrimo.org/participants/cretsi/novels,15,3540.93333333,0,1,6895,25,1799.20439701
48,Seeds of Destruction,November 2011,http://nanowrimo.org/participants/cretsi/novels/seeds-of-destruction,http://nanowrimo.org/participants/cretsi/novels,18,2945.77777778,795,17,5663,24,1252.9888514
49,A Seed Filled with Tomorrow,November 2010,http://nanowrimo.org/participants/cretsi/novels/a-seed-filled-with-tomorrow,http://nanowrimo.org/participants/cretsi/novels,1,0.0,0,1,0,1,0.0
50,From the Bay to the Bayou,November 2015,http://nanowrimo.org/participants/dazart/novels/from-the-bay-to-the-bayou-911093,http://nanowrimo.org/participants/dazart/novels,2,1741.5,1277,2,2206,1,464.5
51,Husbryce,November 2015,http://nanowrimo.org/participants/dgiuliani/novels/husbryce,http://nanowrimo.org/participants/dgiuliani/novels,30,1669.5,0,1,3017,7,600.13136062
52,Betta Fish,November 2013,http://nanowrimo.org/participants/dgiuliani/novels/betta-fish,http://nanowrimo.org/participants/dgiuliani/novels,23,2175.34782609,468,2,3733,19,864.998648338
53,Rolling for Coal,November 2010,http://nanowrimo.org/participants/dgiuliani/novels/rolling-for-coal,http://nanowrimo.org/participants/dgiuliani/novels,1,0.0,0,1,0,1,0.0
54,Los Doce Libritos,November 2015,http://nanowrimo.org/participants/faerierogue/novels/los-doce-libritos,http://nanowrimo.org/participants/FaerieRogue/novels,9,5887.77777778,2000,6,12150,3,3339.70939447
55,Rain,November 2015,http://nanowrimo.org/participants/fallingleaf/novels/rain-834753,http://nanowrimo.org/participants/fallingleaf/novels,8,1710.5,33,2,3130,21,893.89750531
56,Kalediscope,November 2014,http://nanowrimo.org/participants/fallingleaf/novels/kalediscope,http://nanowrimo.org/participants/fallingleaf/novels,23,2280.04347826,226,3,9900,30,2188.9122468
57,Carnival of Lost Souls,November 2013,http://nanowrimo.org/participants/fallingleaf/novels/carnival-of-lost-souls-376748,http://nanowrimo.org/participants/fallingleaf/novels,28,1869.07142857,337,6,4118,10,770.866994669
58,The Walking Man,November 2012,http://nanowrimo.org/participants/fallingleaf/novels/the-walking-man-179018,http://nanowrimo.org/participants/fallingleaf/novels,4,1345.75,566,1,2482,15,804.124485077
59,Gothic,November 2011,http://nanowrimo.org/participants/fallingleaf/novels/gothic,http://nanowrimo.org/participants/fallingleaf/novels,26,1928.65384615,322,15,5182,12,1302.62382971
60,Poirot's Ghost,November 2010,http://nanowrimo.org/participants/fallingleaf/novels/poirot-s-ghost,http://nanowrimo.org/participants/fallingleaf/novels,1,0.0,0,1,0,1,0.0
61,The Nice Lady's Apprentice's,November 2009,http://nanowrimo.org/participants/fallingleaf/novels/the-nice-lady-s-apprentice-s,http://nanowrimo.org/participants/fallingleaf/novels,1,0.0,0,1,0,1,0.0
62,The Trials of Gwendolyn Bach,November 2008,http://nanowrimo.org/participants/fallingleaf/novels/the-trials-of-gwendolyn-bach,http://nanowrimo.org/participants/fallingleaf/novels,1,0.0,0,1,0,1,0.0
63,Multi-Project Nano,November 2015,http://nanowrimo.org/participants/feliciafredlund/novels/multi-project-nano,http://nanowrimo.org/participants/FeliciaFredlund/novels,4,350.5,0,1,563,2,214.970346792
64,The Sins of a Mage and Changing Bounds,November 2014,http://nanowrimo.org/participants/feliciafredlund/novels/the-sins-of-a-mage-and-changing-bounds,http://nanowrimo.org/participants/FeliciaFredlund/novels,9,1229.44444444,211,14,2006,4,625.830490204
65,30 Flashes of Life,November 2013,http://nanowrimo.org/participants/feliciafredlund/novels/30-flashes-of-life,http://nanowrimo.org/participants/FeliciaFredlund/novels,2,1666.5,0,1,3333,24,1666.5
66,The Draining,November 2012,http://nanowrimo.org/participants/feliciafredlund/novels/the-draining,http://nanowrimo.org/participants/FeliciaFredlund/novels,21,2386.04761905,424,21,14345,30,2824.42569765
67,The Flying Carrier,November 2011,http://nanowrimo.org/participants/feliciafredlund/novels/the-flying-carrier,http://nanowrimo.org/participants/FeliciaFredlund/novels,22,2279.40909091,181,21,13886,30,2807.29043837
68,The Remarried,November 2015,http://nanowrimo.org/participants/grenouille/novels/the-remarried,http://nanowrimo.org/participants/grenouille/novels,30,1673.06666667,392,13,3874,1,703.338938366
69,Peppermint Skies,November 2014,http://nanowrimo.org/participants/grenouille/novels/peppermint-skies-580477,http://nanowrimo.org/participants/grenouille/novels,28,1809.82142857,224,17,5055,29,1081.73947397
70,The Testimony,November 2013,http://nanowrimo.org/participants/grenouille/novels/the-testimony,http://nanowrimo.org/participants/grenouille/novels,30,1762.63333333,113,12,5037,30,858.837682892
71,The Scarlet Order,November 2012,http://nanowrimo.org/participants/grenouille/novels/the-scarlet-order,http://nanowrimo.org/participants/grenouille/novels,30,1834.9,167,13,5051,5,1051.98058759
72,Paper Roses,November 2011,http://nanowrimo.org/participants/grenouille/novels/paper-roses,http://nanowrimo.org/participants/grenouille/novels,25,2107.08,166,30,7815,29,1690.03800951
73,Sonata no. 4,November 2010,http://nanowrimo.org/participants/grenouille/novels/sonata-no-4,http://nanowrimo.org/participants/grenouille/novels,1,0.0,0,1,0,1,0.0
74,Baletka,November 2009,http://nanowrimo.org/participants/grenouille/novels/baletka,http://nanowrimo.org/participants/grenouille/novels,1,0.0,0,1,0,1,0.0
75,Pip : After Pequod [working title],November 2015,http://nanowrimo.org/participants/hbt003/novels/pip-after-pequod-working-title,http://nanowrimo.org/participants/hbt003/novels,6,1934.0,1176,10,3115,1,653.502614124
76,Glass Houses,November 2014,http://nanowrimo.org/participants/hbt003/novels/glass-houses,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
77,If the Shoe Fits,November 2013,http://nanowrimo.org/participants/hbt003/novels/if-the-shoe-fits-452002,http://nanowrimo.org/participants/hbt003/novels,3,2763.0,702,3,5622,2,2086.33698141
78,ZOMBIE NOVEL [working title],November 2012,http://nanowrimo.org/participants/hbt003/novels/zombie-novel-working-title,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
79,The Plot,November 2011,http://nanowrimo.org/participants/hbt003/novels/the-plot1,http://nanowrimo.org/participants/hbt003/novels,2,5753.5,3807,2,7700,1,1946.5
80,Dear Diary,November 2010,http://nanowrimo.org/participants/hbt003/novels/dear-diary-860043,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
81,[wedding essays],November 2009,http://nanowrimo.org/participants/hbt003/novels/wedding-essays,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
82,[can't remember],November 2008,http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860056,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
83,[can't remember],November 2007,http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860057,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
84,[can't remember],November 2004,http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860059,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
85,[can't remember],November 2003,http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860058,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
86,[can't remember],November 2001,http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860062,http://nanowrimo.org/participants/hbt003/novels,1,0.0,0,1,0,1,0.0
87,Heart of Gold,November 2015,http://nanowrimo.org/participants/imtrisprior/novels/heart-of-gold-821236,http://nanowrimo.org/participants/imtrisprior/novels,3,1564.66666667,0,1,3014,2,1233.15998782
88,Santa and Macchiato,November 2014,http://nanowrimo.org/participants/imtrisprior/novels/santa-and-macchiato-884877,http://nanowrimo.org/participants/imtrisprior/novels,1,0.0,0,1,0,1,0.0
89,Untitled,November 2015,http://nanowrimo.org/participants/jamesalicious/novels/novel-856458,http://nanowrimo.org/participants/Jamesalicious/novels,5,1106.8,500,3,1688,1,528.550243591
90,Eleanor & Hanklet (A Fresh Start on an Unfinished Idea),November 2014,http://nanowrimo.org/participants/jamesalicious/novels/eleanor-hanklet-a-fresh-start-on-an-unfinished-idea,http://nanowrimo.org/participants/Jamesalicious/novels,23,2175.2173913,757,17,7855,30,1531.87194256
91,Before I Can Remember,November 2013,http://nanowrimo.org/participants/jamesalicious/novels/before-i-can-remember,http://nanowrimo.org/participants/Jamesalicious/novels,25,2000.16,193,17,5027,16,1136.15691451
92,Eleanor & Hanklet,November 2011,http://nanowrimo.org/participants/jamesalicious/novels/eleanor-hanklet-60996,http://nanowrimo.org/participants/Jamesalicious/novels,15,1156.53333333,150,28,2292,7,557.843928791
93,The Summer of the Cicadas,November 2004,http://nanowrimo.org/participants/jamesalicious/novels/the-summer-of-the-cicadas,http://nanowrimo.org/participants/Jamesalicious/novels,1,0.0,0,1,0,1,0.0
94,This was supposed to be a new book but it became revisions for my first NaNoWriMo novel instead,November 2015,http://nanowrimo.org/participants/jen-gambale/novels/this-was-supposed-to-be-a-new-book-but-it-became-revisions-for-my-first-nanowrimo-novel-instead,http://nanowrimo.org/participants/jen-gambale/novels,21,2428.61904762,405,4,9824,24,2572.44700026
95,Wailer,November 2014,http://nanowrimo.org/participants/jen-gambale/novels/wailer,http://nanowrimo.org/participants/jen-gambale/novels,16,1298.9375,383,2,2678,14,617.869066707
96,Break Down After World,November 2013,http://nanowrimo.org/participants/jen-gambale/novels/break-down-after-world,http://nanowrimo.org/participants/jen-gambale/novels,24,2090.70833333,71,19,6971,28,1482.43624031
97,An Undead Melody,November 2012,http://nanowrimo.org/participants/jen-gambale/novels/an-undead-melody,http://nanowrimo.org/participants/jen-gambale/novels,29,2145.96551724,181,16,4614,24,1087.09544938
98,The Retro Video Girl,November 2015,http://nanowrimo.org/participants/k-r-smith/novels/the-retro-video-girl,http://nanowrimo.org/participants/K-R-Smith/novels,2,148.0,0,1,296,13,148.0
99,The Crush of the Month,November 2014,http://nanowrimo.org/participants/k-r-smith/novels/the-crush-of-the-month,http://nanowrimo.org/participants/K-R-Smith/novels,10,3589.5,0,1,9960,23,3359.80657925
100,Fanboy,November 2013,http://nanowrimo.org/participants/k-r-smith/novels/fanboy,http://nanowrimo.org/participants/K-R-Smith/novels,9,6387.77777778,0,1,42553,4,12858.3830656
101,Delicacy,November 2009,http://nanowrimo.org/participants/k-r-smith/novels/delicacy,http://nanowrimo.org/participants/K-R-Smith/novels,1,0.0,0,1,0,1,0.0
102,Iteration,November 2015,http://nanowrimo.org/participants/kelvarus/novels/iteration,http://nanowrimo.org/participants/Kelvarus/novels,26,1214.73076923,143,20,2745,14,630.581938657
103,Elbie Chronicles,November 2013,http://nanowrimo.org/participants/kelvarus/novels/elbie-chronicles,http://nanowrimo.org/participants/Kelvarus/novels,5,521.8,0,1,1041,30,349.872776878
104,Convergence,November 2012,http://nanowrimo.org/participants/kelvarus/novels/convergence-176855,http://nanowrimo.org/participants/Kelvarus/novels,27,1853.14814815,439,15,4150,10,1061.2820236
105,Multiverse,November 2011,http://nanowrimo.org/participants/kelvarus/novels/multiverse,http://nanowrimo.org/participants/Kelvarus/novels,8,1999.5,124,14,4750,13,1766.73116234
106,Scenes from An Invasion,November 2010,http://nanowrimo.org/participants/kelvarus/novels/scenes-from-an-invasion,http://nanowrimo.org/participants/Kelvarus/novels,1,0.0,0,1,0,1,0.0
