"Fact Sheet","index","url"
"Location: San Francisco Hobbies: Dancing, Solo Performance, Collage, Reading, Ritual, Shamanic Journeying Favorite noveling music: Blackmore's Night, Nox Arcana Website: Favorite books or authors: Deep Secret, Fire and Hemlock, Possession, The Children's Book, the Basic Eight; Harry Potter and the Prisoner of Azkaban, Narnia, The Secret Garden, Pride and Predjudice, Wicked, Confessions of an Ugly Stepsister, AS Byatt, Diana Wynne Jones, C.S. Lewis, Gregory MacGuire, Jane Austen","3431","http://nanowrimo.org/participants/fallingleaf"
"Fact Sheet","3432","http://nanowrimo.org/participants/FeliciaFredlund"
"Age: 26 Location: Stockholm, Sweden Hobbies: Reading, writing Favorite noveling music: None, can't concentrate on creating with music, but great inspiration BEFORE writing is Linkin Park, Gary Moore and Classic Rock overall. Website: http://www.FeliciaFredlund.com Occupation: Fiction writer Favorite books or authors: Good Omens by Terry Pratchett and Neil Gaiman, Terrier by Tamora Pierce and The Redemption of Althalus by David and Leigh Eddings.","3433","http://nanowrimo.org/participants/FeliciaFredlund"
"Fact Sheet","3434","http://nanowrimo.org/participants/grenouille"
"Primary Role: Municipal Liaison Age: 25 Birthday: December 28 Location: Ostrava, Czech Republic Hobbies: football, writing, reading, music, fashion... Website: http://booksaesthetics.tumblr.com Occupation: student, teacher Favorite books or authors: Antoine de Saint-Exupéry - Courier sud, Jacqueline Carey - Kushiel's Legacy, Marissa Meyer - The Lunar Chronicles, Jessie Burton - The Miniaturist","3435","http://nanowrimo.org/participants/grenouille"
"Fact Sheet","3436","http://nanowrimo.org/participants/hbt003"
"Age: 39 Location: San Francisco Hobbies: Reading, Running, Cooking, Drinking Cocktails (is that a hobby, or a pastime?) Favorite noveling music: NOT musicians I love, such as Thao Nguyen, Bob Dylan, Yoko Ono, Pavement, De La Soul, Lifter Puller, et al. ANYTHING BUT THESE MUSICIANS...because I like to dance. Website: https://bricolagerie.wordpress.com/ Occupation: Librarian Favorite books or authors: Virginia Woolf, Lionel Shriver, Denis Johnson, Amy Hempel, Toni Morrison, Chris Abani, Junot Diaz, Chimamanda Ngozi Adichie, Karen Russell, Clarice Lispector, Asali Solomon, et al","3437","http://nanowrimo.org/participants/hbt003"
"Fact Sheet","3438","http://nanowrimo.org/participants/imtrisprior"
"Birthday: August 10 Location: us of the a Hobbies: seeking for cute boys everywhere. Website:","3439","http://nanowrimo.org/participants/imtrisprior"
"Fact Sheet","3440","http://nanowrimo.org/participants/Jamesalicious"
"Location: San Francisco, CA Hobbies: Swing dancing, knitting, watching the tourists go by on their way to Coit Tower Website: Favorite books or authors: Dave Barry is my hero","3441","http://nanowrimo.org/participants/Jamesalicious"
"Fact Sheet","3442","http://nanowrimo.org/participants/jen-gambale"
"Age: 27 Location: United States Hobbies: Reading, writing, drawing, being creative, listening to music Favorite noveling music: Movies scores Website: http://jengambale.tumblr.com/ Occupation: Job Hunter Favorite books or authors: J.K. Rowling, Colleen Gleason, George R.R. Martin, Cassandra Clare, Suzanne Collins, Rick Riordan, Charlaine Harris, Stephen King and many more","3443","http://nanowrimo.org/participants/jen-gambale"
"Fact Sheet","3444","http://nanowrimo.org/participants/K-R-Smith"
"Location: Paulding County, GA Hobbies: Music, Anime, Writing (of course) Favorite noveling music: R&B, Hip Hop, Asian pop music and good old ole' skool jams Website: http://KmbrlyRch.wordpress.com Favorite books or authors: 72 Hour Hold by Bebe Moore Campbell, Kindred by Octavia E. Butler","3445","http://nanowrimo.org/participants/K-R-Smith"
"Fact Sheet","3446","http://nanowrimo.org/participants/Kelvarus"
"Location: San Francisco, CA Hobbies: Travel, RISK (the game of world domination), costume parties, being outside Favorite noveling music: Lord of the Rings, Gladiator, Transformers, or really loud techno Website: http://www.elbiefree.com Occupation: Creator and destroyer of worlds Favorite books or authors: Ender's Game, Fahrenheit 451, Handmaid's Tale, Sherwood, Orson Scott Card, Atwood, Sedaris, Bradbury, Asimov, Lawhead, Merton, Tozer","3447","http://nanowrimo.org/participants/Kelvarus"
"Fact Sheet","3448","http://nanowrimo.org/participants/khmore"
"Location: San Francisco Hobbies: painting, re-reading, and lying around Website: Occupation: liar Favorite books or authors: Lewis Carroll, Hendrik Hertzberg, Patrick O'Brian, Terry Pratchett, Dorothy Sayers, Arthur Conan Doyle, David Foster Wallace, Joan Aiken","3449","http://nanowrimo.org/participants/khmore"
"Fact Sheet","3450","http://nanowrimo.org/participants/kp17"
"Location: California Website: http://www.thelastchancetosee.com","3451","http://nanowrimo.org/participants/kp17"
"Fact Sheet","3452","http://nanowrimo.org/participants/kristenrudd"
"Primary Role: Municipal Liaison Age: 37 Location: Cary, NC Hobbies: writing, reading, watching really crappy movies (no, like the REALLY CRAPPY ones), archery Website: http://twitter.com/kristenrudd Sponsorship URL: https://www.classy.org/kristenrudd2015 Occupation: homeschool mom Favorite books or authors: Kristin Cashore, Orson Scott Card, Maggie Stiefvater, Patrick Ness, Rob Kroese, Wayne Franklin","3453","http://nanowrimo.org/participants/kristenrudd"
"Fact Sheet","3454","http://nanowrimo.org/participants/lavenderblue"
"Location: San Francisco Hobbies: Dancing, reading, visual arts, theatre arts, cinema, nature, animals, hiking. Favorite noveling music: For writing--Depends on what I'm writing, but in general mellow, unobtrusive instrumental at low volume, if anything; jazz standards sometimes OK. Silence preferred. Website: Occupation: Instructional designer/Learning consultant Favorite books or authors: Catcher in the Rye; Seize the Day; Lolita; My Life and Hard Times; The Secret Garden; The Diving Bell and the Butterfly; The Bridge on San Luis Rey; A Girl’s Guide to Hunting and Fishing; Cat’s Cradle; Turn of the Screw; Half Magic; Visit to a Small Planet; Interview With a Vampire; Heartburn; Cannery Row; Siddhartha; Pride and Prejudice; The Time Machine; A Tree Grows in Brooklyn; Shogun; The Godfather; Helter Skelter; All the President’s Men; Hawaii; Atonement; Watership Down; My Stroke of Insight; Portnoy's Complaint; , J. D. Salinger, Alice Munroe, Grace Paley, Charles Dickens, Vladimir Nobakov, Jane Austen, Anton Chekov, Isaac Bashevis Singer, Richard Bausch, Alice Walker, Kurt Vonnegut, Jr., Thornton Wilder, Ralph Waldo Emerson, Saul Bellow, Noel Coward, Henry James, Somerset Maugham, Guy de Maupassant, John Steinbeck, Jamaica Kincaid, Isaac Asimov, George Bernard Shaw, Eugene O’Neil, John Gardner, William Zinsser, David Mamet, Franz Kafka, Chris Baty","3455","http://nanowrimo.org/participants/lavenderblue"
"Fact Sheet","3456","http://nanowrimo.org/participants/Liberate"
"Location: London, UK. Occasionally San Francisco. Hobbies: Sitting in coffee shops reading (convenient practise), inventing stories with other people, tai chi and wasting time on the internet (inconvenient practise) Favorite noveling music: Dark ambient/techno style music (Actress, Burial, Klara Lewis, patten) because the mood of my nano project is definitely ""wallowing."" Website: Occupation: Data wrangler Favorite books or authors: Dune, The Canterbury Tales, The Rings of Saturn, Homer, Plutarch's Lives, Lucian, Sophocles, Aristophanes, Impro by Keith Johnstone, Martial. I realise how pretentious this list is.","3457","http://nanowrimo.org/participants/Liberate"
"Fact Sheet","3458","http://nanowrimo.org/participants/liteindigold"
"Age: 27 Location: San Francisco Hobbies: reading, video games, podcasts, many things sci-fi Favorite noveling music: My Starred Spotify list Website: Occupation: UX Researcher","3459","http://nanowrimo.org/participants/liteindigold"
"Fact Sheet","3460","http://nanowrimo.org/participants/Lunar-Daddy"
"Age: 28 Location: Oakland, California Hobbies: Propagating house plants, Museums, Mixtapes, Watercoloring, Camping, Roadtrips Favorite noveling music: House Music Website: Occupation: Retired Pizza cook Favorite books or authors: Spivak, Derrida, Diaz, Nin, Bechdel, Butler (Octavia), Baldwin, Anzaldua, Morrison, Cesaire, Delany, Wojnarowicz","3461","http://nanowrimo.org/participants/Lunar-Daddy"
"Fact Sheet","3462","http://nanowrimo.org/participants/MamaHen40"
"Birthday: December 25 Location: San Francisco Hobbies: Reading Favorite noveling music: So far, none Website: Occupation: Marketing Favorite books or authors: Jane Austen, Terry Pratchett, Charlaine Harris, Diana Gabaldon","3463","http://nanowrimo.org/participants/MamaHen40"
"Fact Sheet","3464","http://nanowrimo.org/participants/MermaidMaddie"
"Age: 15 Birthday: March 5 Location: Atlantis Hobbies: i dunno, man. fangirling? dying? reading? (tv) marathoning? Favorite noveling music: whatever suits my mood. Website: http://www.theadventuresofkayinimprobablesituations.wordpress.com Occupation: Writer, Student Favorite books or authors: sweet baby jesus don't make me choose","3465","http://nanowrimo.org/participants/MermaidMaddie"
"Fact Sheet","3466","http://nanowrimo.org/participants/motherless-child"
"Birthday: April 21 Location: San Francisco Bay Area Hobbies: Hiking, reading, cooking, writing retreats, gardening Favorite noveling music: Thunderstorms, Native American flute/drums, Wagner... silence. and sometimes Korn. Website: Occupation: Workshop facilitator and designer, LinkedIn and Social Media Consultant and Stre Favorite books or authors: Night Film, The Mermaid Chair, Birds of Heaven, Reflections on the North Country, Game of Thrones...","3467","http://nanowrimo.org/participants/motherless-child"
"Fact Sheet","3468","http://nanowrimo.org/participants/nelle81"
"Location: San Francisco Favorite noveling music: All Types Website: http://www.chanelleloftness.com Occupation: e-Discovery Project Manager Favorite books or authors: Jeaniene Frost, Anne Rice, Cassandre Clare, Rachel Caine, Melissa Marr, Nicole Peeler","3469","http://nanowrimo.org/participants/nelle81"
"Fact Sheet","3470","http://nanowrimo.org/participants/nemodos"
"Primary Role: Municipal Liaison Location: San Francisco, California Hobbies: Reading, gaming, Kenpo, language acquisition Favorite noveling music: A mix of Yo-Yo Ma, The Pharcyde, and Riddle of Steel. Or Ratatat radio on Pandora. Website: http://nanowrimo.org/participants/nemodos Sponsorship URL: http://www.classy.org/nemodos2015 Occupation: Account Support Favorite books or authors: Brian Jacques (Redwall), Simon Morden, Philip Pullman, Frank Herbert","3471","http://nanowrimo.org/participants/nemodos"
"Fact Sheet","3472","http://nanowrimo.org/participants/nicole1967"
"Location: Fresno California Hobbies: Writing,Reading,Listening to music,Singing Website: Favorite books or authors: Richelle Mead,Stephenie Meyer,Christopher Pike,Veronica Roth","3473","http://nanowrimo.org/participants/nicole1967"
"Fact Sheet","3474","http://nanowrimo.org/participants/Rebecca-Stern"
"Primary Role: admin Birthday: November 2 Location: San Francisco Website: http://nanowrimo.org Occupation: Director of Programs Favorite books or authors: Elena Ferrante, William Styron, Jesmyn Ward, Sherman Alexie, Scott Westerfeld, Chimamanda Ngozi Adichie, Joshua Mohr, Kwame Alexander, Patricia Highsmith","3475","http://nanowrimo.org/participants/Rebecca-Stern"
"Fact Sheet","3476","http://nanowrimo.org/participants/rienkarrot"
